name,standard_name,parent_company,country_hq,industry,involvement_types,data_sources,confidence_score
Athenian VC,,,usa,,,bdscoalition.ca,0
Atid Packaging,,,,,,bdscoalition.ca,0
Atkins Family,,,,,,bdscoalition.ca,0
Atlantic Packaging - Toddy & Irving Granovsky and Family,,,,,,bdscoalition.ca,0
Atlantico VC,,,,,,bdscoalition.ca,0
Atlas Copco,Atlas Copco AB,,Sweden,Diversified Industrials,occupation,"bdscoalition.ca, investigate.afsc.org",0.5
Atman Capital,,,usa,,,bdscoalition.ca,0
ATP Fund,,,usa,,,bdscoalition.ca,0
ATP/Veryon/Casebank,,,,,,bdscoalition.ca,0
Atrium Innovations,,Nestle,,,,bdscoalition.ca,0
Ats Corporation,,,,,,bdscoalition.ca,0
ATTA Ventures,,,usa,,,bdscoalition.ca,0
Atypical Ventures,,,usa,,,bdscoalition.ca,0
Aubut (Distribution Alimentaire Aubut Inc),,,,,,bdscoalition.ca,0
Audere Capital,,,usa,,,bdscoalition.ca,0
Audi,,Volkswagen Group,,,,bdscoalition.ca,0
Augury Systems Ltd.,,,,,,bdscoalition.ca,0
August Capital,,,usa,,,bdscoalition.ca,0
Aurora Importing & Distributing Limited,,,,,,bdscoalition.ca,0
Aurora Strategy Group,,,,,,bdscoalition.ca,0
Ausonia,,Procter and Gamble,,,,bdscoalition.ca,0
Aussie,,Procter and Gamble,,,,bdscoalition.ca,0
Austeville Properties Ltd.,,,,,,bdscoalition.ca,0
Austin Crackers,,Kellanova,,,,bdscoalition.ca,0
Authentic Beauty Concept,,Henkel,,,,bdscoalition.ca,0
Authentic Brands Group,,Authentic Brands Group,,,,bdscoalition.ca,0
Authentic Tea House,,Coca-Cola,,,,bdscoalition.ca,0
Autonomy Ventures,,,usa,,,bdscoalition.ca,0
Autopilot Fund,,,,,,bdscoalition.ca,0
Avcon Construction Inc.,,,,,,bdscoalition.ca,0
Aveda,,Estee Lauder,,,,bdscoalition.ca,0
Aveeno,,J&J (Kenvue),,,,bdscoalition.ca,0
Avelo Airlines,,,,,,bdscoalition.ca,0
Avenir,,,usa,,,bdscoalition.ca,0
Avi Cranes,,,,,,bdscoalition.ca,0
Avia,,,,,,bdscoalition.ca,0
Aviall,,,,,,bdscoalition.ca,0
Aviance,,Unilever,,,,bdscoalition.ca,0
Avid Ventures,,,usa,,,bdscoalition.ca,0
Avila VC,,,usa,,,bdscoalition.ca,0
Avison Young,,,,,,bdscoalition.ca,0
Avisror Moshe & Sons,,,,,,bdscoalition.ca,0
Aviva,,,,,,bdscoalition.ca,0
Avnet International Canada Ltd,,,,,,bdscoalition.ca,0
Avniv,,,,,,bdscoalition.ca,0
Avra Water,,Coca-Cola,,,,bdscoalition.ca,0
Avril Sherbrooke,,,,,,bdscoalition.ca,0
Awesome People Ventures,,,usa,,,bdscoalition.ca,0
Awz Ventures,,,,,,bdscoalition.ca,0
AXA,,,,,,bdscoalition.ca,0
Axe,,Unilever,,,,bdscoalition.ca,0
Axel Springer SE,,,,,,bdscoalition.ca,0
Axion Cleaner,,Colgate Palmolive,,,,bdscoalition.ca,0
Axon Enterprise Inc,Axon Enterprise Inc,,USA,Aerospace & Defense,"border_security, occupation, prison_industry, military_support","bdscoalition.ca, investigate.afsc.org",0.5
Aybal Water,,Coca-Cola,,,,bdscoalition.ca,0
Ayush,,Unilever,,,,bdscoalition.ca,0
AZ,,Procter and Gamble,,,,bdscoalition.ca,0
Azure Capital Partners,,,usa,,,bdscoalition.ca,0
Azzaro,,L'Oreal,,,,bdscoalition.ca,0
B Communications,B Communications Ltd,,Israel,Telecom Services,"settlements, occupation, military_support","bdscoalition.ca, investigate.afsc.org",0.5
B-Flexion,,,,,,bdscoalition.ca,0
B. Gaon Holdings,B Gaon Holdings Ltd,,Israel,Conglomerates,"settlements, occupation","bdscoalition.ca, investigate.afsc.org",0.5
B. Yair Building Corporation,,,,,,bdscoalition.ca,0
B.D.T.H Israel Solar Energy Ltd.,,,,,,bdscoalition.ca,0
B.G. Ilanit Gates and Urban Elements,,,,,,bdscoalition.ca,0
b2venture,,,,,,bdscoalition.ca,0
Baba Soap,,Unilever,,,,bdscoalition.ca,0
Bacardi Mixers,,Coca-Cola,,,,bdscoalition.ca,0
Baccalieu Trail Community Church Inc.,,,,,,bdscoalition.ca,0
Baci Perugina chocolate,,Nestle,,,,bdscoalition.ca,0
Backerscc,,,,,,bdscoalition.ca,0
Badedas,,Unilever,,,,bdscoalition.ca,0
Badin,,Unilever,,,,bdscoalition.ca,0
BAE Systems,BAE Systems PLC,,UK,Aerospace & Defense,"occupation, military_support","bdscoalition.ca, investigate.afsc.org",0.5
Bai Drinks,,Keurig Dr Pepper,,,,bdscoalition.ca,0
Baillie Gifford,,,,,,bdscoalition.ca,0
Bain Capital Ventures,,,usa,,,bdscoalition.ca,0
Baken-Ets,,PepsiCo,,,,bdscoalition.ca,0
Balenciaga,,Kering,,,,bdscoalition.ca,0
Balerion Space Ventures,,,usa,,,bdscoalition.ca,0
Bali Hanes,,Hanes Brands Inc.,,,,bdscoalition.ca,0
Balisto Granola Bars,,Mars,,,,bdscoalition.ca,0
Balkin Ventures,,,usa,,,bdscoalition.ca,0
Ballet BC,,,,,,bdscoalition.ca,0
Ballistic Ventures,,,usa,,,bdscoalition.ca,0
Bally,,JAB Holding Company,,,,bdscoalition.ca,0
BAM Ventures,,,usa,,,bdscoalition.ca,0
Bamba,,Osem,,,,bdscoalition.ca,0
Bambi,,Coca-Cola,,,,bdscoalition.ca,0
Banco Bilbao Vizcaya Argentaria (BBVA),,,,,,bdscoalition.ca,0
Banco de Sabadell,,,,,,bdscoalition.ca,0
Banco Mediolanum,,,,,,bdscoalition.ca,0
Band-Aid,,J&J (Kenvue),,,,bdscoalition.ca,0
Bandolino,,Authentic Brands Group,,,,bdscoalition.ca,0
Bang Energy Drink,,Monster Beverage Corp.,,,,bdscoalition.ca,0
Bango,,Unilever,,,,bdscoalition.ca,0
Bank Bros & Son Ltd,,,,,,bdscoalition.ca,0
Bank Hapoalim B.M.,,,,,,bdscoalition.ca,0
Bank Leumi Le-Israel B. M.,,,,,,bdscoalition.ca,0
Bank of America,,,,,,bdscoalition.ca,0
Bank of Jerusalem Ltd.,Bank of Jerusalem Ltd,,Israel,Banks - Regional - Asia,"settlements, occupation","bdscoalition.ca, investigate.afsc.org",0.5
Bank of Montreal,,,,,,bdscoalition.ca,0
Bank Otsar HaHayal,,,,,,bdscoalition.ca,0
Bankia Water,,Coca-Cola,,,,bdscoalition.ca,0
Banter Capital,,,usa,,,bdscoalition.ca,0
Baptist General Conference of Canada (2020),,Canadian Council of Churches,,,,bdscoalition.ca,0
Bar'on Vineyard Cabernet Sauvignon 2015 by Golan Heights Winery,,,,,,bdscoalition.ca,0
